Dung lượng RAM,Wi-Fi,Loại CPU,4star,Tính năng đặc biệt,3star,Ổ cứng,Bluetooth,old_price,Chất liệu tấm nền,Loại card đồ họa,Khe đọc thẻ nhớ,item_name,Hệ điều hành,2star,Công nghệ màn hình,Công nghệ âm thanh,5star,comment_count,Độ phân giải màn hình,Webcam,Kích thước,Loại RAM,Độ phân giải ,Trọng lượng,Màn hình cảm ứng,Cổng giao tiếp,1star,Chất liệu,url,Kích thước màn hình,Đèn bàn phím,Pin,special_price
16GB,Intel Wi-Fi 6 AX201(2*2 ax) ,AMD Ryzen 9 5900HX,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,1TB SSD NVMe M.2 PCIe Gen 3 x 4,v5.0,49.990.000,Tấm nền IPS,Geforce RTX 3060 6GB,Có,Laptop ASUS Gaming ROG Strix Scar 15 G533QM HF089T, Windows 10 SL 64 Bit,0,Tần số quét 300Hz,,0,6,1920 x 1080 pixels (FullHD),,35.4 x 25.9 x 2.26 ~ 2.72 cm,"DDR4 3200MHz, 2 khe cắm, hỗ trợ tối đa 32GB",Full HD,2.5 kg,Không,"3x USB 3.2 Gen 1 Type-A, 1 x 3.5mm Audio Jack, 1 x HDMI 2.0, 1 x Keystone, 1 x Type C USB3.1 (GEN2) support DP function, 1x RJ45",0,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-15-g533qm.html,15.6 inches,," 4 cells, 90Whrs",47.490.000
8GB,Intel Wi-Fi 6 AX201(2*2 ax),"Intel Core i5-1135G7 tốc độ tối đa 4.20GHz, 4 nhân 8 luồng, 8MB bộ nhớ đệm",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD M.2 2242 PCIe 3.0x2 NVMe,v5.1,19.990.000,Tấm nền IPS,Integrated Intel Iris Xe Graphics,Có,Laptop Lenovo Ideapad 5 15ITL05 82FG00M5VN,Windows 10 Home,0,"Độ sáng 300 nit, màn hình chống chói, 45% NTSC","Stereo speakers, 2W x2, Dolby® Audio™",1,50,1920 x 1080 pixels (FullHD),720p có màn trập bảo mật,356.67 x 233.13 x 17.9-19.9 mm,DDR4 3200Mhz,Full HD,1.66 kg,Không,1x USB 3.2 Gen 1 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (Power Delivery 3.0 and DisplayPort 1.2) 1x HDMI 1.4b 1x headphone / microphone combo jack (3.5mm),0,Vỏ kim loại,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15itl05.html,15.6 inches,Không,"3 Cell, 45Wh",19.190.000
16GB,Integrated Wi-Fi 6 (802.11 ax (2x2)),"AMD Ryzen 7-5800H 3.20GHz upto 4.40GHz, 8 cores 16 threads",0,"Ổ cứng SSD, Wi-Fi 6",0, 512GB M.2 NVMe™ PCIe® 3.0 SSD,Bluetooth® 5.2 ,32.990.000,Tấm nền IPS,NVIDIA® GeForce® RTX 3060 6GB GDDR6,,Laptop ASUS TUF Gaming FA506QM-HN016T,Windows 10 Home SL ,0,"Màn hình chống loá, tần số quét 144Hz", DTS: X Ultra,0,50,1920 x 1080 pixels (FullHD),HD 720p,359.8 x 256 x 22.8 ~24.5 cm," DDR4-3200Mhz , 2 khe cắm tối đa 32GB",Full HD,2.3Kg,Không," 1 x RJ45 LAN jack for LAN insert 3 x Type-A USB 3.2 (Gen 1) 1 x Type-C USB 3.2 (Gen 2) with display supportDP1.4 1 x HDMI, HDMI support 2.0b 1 Mic-in/Headphone-out Combo Jack",0,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qm-hn016t.html,15.6 inches,Có, 4 cell/90 Wh,31.490.000
4GB,802.11a/b/g/n/ac,"Intel® Celeron® N4020 (1.1 GHz - 2.8 GHz, 4 MB L2 cache)",0,Ổ cứng SSD,0,128 GB SATA 3 TLC M.2 SSD,v4.2,11.990.000,Tấm nền IPS,Intel® UHD Graphics 600,Có,Laptop HP 15-DW1001WN 4J238UA,Windows 10 Home SL ,0,"Màn hình chống loá, 250 nits, 45% NTSC",Dual speakers,0,25,1920 x 1080 pixels (FullHD),720p HD ,35.85 x 24.2 x 1.99 cm,RAM 4 GB DDR4-2400 MHz (1 x 4 GB),Full HD,1.78 kg,Không,1 SuperSpeed USB Type-C® 5Gbps signaling rate 2 SuperSpeed USB Type-A 5Gbps signaling rate 1 HDMI 1.4b 1 RJ-45 1 AC smart pin 1 headphone/microphone combo,0,Vỏ nhựa,https://cellphones.com.vn/laptop-hp-15-dw1001wn-4j238ua.html,15.6 inches,,"3-cell, 41 Wh Li-ion",9.990.000
8GB,Intel Wi-Fi 6 AX201(2*2 ax),"Intel® Core™ i3-1115G4, tối đa 4.10 GHz, 2 nhân 4 luồng, 8MB",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,256GB NVMe PCIe SSD,5.1,14.990.000,Tấm nền IPS,Intel UHD Graphics,,Laptop MSI Modern14 B11MOU-851VN,Windows10 Home Advanced,0," 60Hz 45%NTSC IPS-Level, close to 100%sRGB",2 Loa,2,88,1080 x 1920 pixels (FullHD),HD type (30fps@720p),319 x 219 x 16.9 mm,"8GB(8GBx1)DDR4 3200MHz, 2 Khe, tối đa 32GB",Full HD,"1,3kg",Không,1x Type-C USB3.2 Gen2  2x Type-A USB3.2 Gen1  1x (4K @ 60Hz) HDMI  1x Mic-in/Headphone-out Combo Jack,0,,https://cellphones.com.vn/laptop-msi-modern-14-b11mou-851vn.html,14 inches,Có,"3 cell , 39Whr",14.790.000
8GB,802.11 ax Wi-Fi 6,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB PCIe NVMe™ M.2 SSD,v5.1,22.990.000,,NVIDIA GeForce MX450 2GB GDDR5,Có,Laptop MSI Modern 14 B11SB,Windows 10 Home SL,0,"14"" FHD (1920 x 1080) IPS-Level, 60Hz, 72% NTSC, Thin Bezel, 100% sRGB",,1,117,1920 x 1080 pixels (FullHD),,319 x 219 x 16.9 (mm),"DDR4 3200Mhz, 1 khe cắm, hỗ trợ tối đa 32GB",Full HD,1.3 kg,Không,"1x Type-C (USB4 / DP / Thunderbolt™4) with PD charging, 1x (4K @ 60Hz) HDMI, 2x Type-A USB3.2 Gen2",0,,https://cellphones.com.vn/laptop-msi-modern-14-b11sb.html,14 inches,,3 Cell 52WHr,20.790.000
8GB,Wi-Fi 6 AX201(2*2 ax),AMD Ryzen 3 4300U,0,"Ổ cứng SSD, Wi-Fi 6",0,256GB SSD,v5.0,13.990.000,Tấm nền IPS,,,Laptop MSI Modern 14 B4MW,Windows 10 ,0,,,1,50,1080 x 1920 pixels (FullHD),,322 x 222 x 15.9 mm,"DDR4 8GB (1 x 8GB) 3200MHz; 2 khe, hỗ trợ tối đa 32GB",Full HD,1.3Kg,Không,2x Type-C USB3.1 Gen1  2x Type-A USB3.1 Gen1  1x SD (XC/HC)  1x (4K @ 30Hz) HDMI,0,,https://cellphones.com.vn/laptop-msi-modern-14-b4mw-029vn.html,14 inches,,"3 Cell , 36Whr",13.490.000
8GB,WiFi 802.11a/b/g ,Intel® Core™ i5-1135G7 2.40GHz up to 4.20GHz 8MB 4 nhân 8 luồng,0,"Ổ cứng SSD, Viền màn hình siêu mỏng",0,256GB M.2 PCIe NVMe SSD ,Bluetooth 5.0,,,Intel® Iris® Xe Graphics,Có,Laptop Dell Vostro 5301 C4VV91,Windows 10 Home SL,0,LED chống chói 60HZ 95% RGB,,0,10,1080 x 1920 pixels (FullHD),,365 x 204 x 1595 mm,"LPDDR4x 4267MHz, không hỗ trợ nâng cấp",Full HD,1.06 kg,Không,2 x USB Type A 3.21 USB 3.2 Gen 2 Type C1 x HDMI 1.4b1 x audio1 x Lan RJ-45 port 10/100 Mbps,0,,https://cellphones.com.vn/laptop-dell-vostro-5301-i5-ssd-256gb.html,13.3 inches,,3Cell 40WHrs,
,WiFi 802.11a/b/g ,Intel® Core™ i5-1135G7 2.40GHz up to 4.20GHz 8MB 4 nhân 8 luồng,0,,0,512GB M.2 PCIe NVMe SSD ,Bluetooth 5.0,22.690.000,,Intel® Iris® Xe Graphics,,Laptop Dell Vostro 5301 C4VV92,Windows 10 Home SL,0,LED chống chói ,,0,12,1080 x 1920 pixels (FullHD),,365 x 204 x 1595 mm,,,1.06 kg,,2 x USB Type A 3.21 USB 3.2 Gen 2 Type C1 x HDMI 1.4b1 x audio1 x Lan RJ-45 port 10/100 Mbps,0,,https://cellphones.com.vn/laptop-dell-vostro-5301-i5.html,13.3 inches,,3Cell 40WHrs,22.190.000
16GB,Intel Wi-Fi 6 AX201(2*2 ax),Intel Core i7 10750H,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE (Còn trống 1 khe SSD M.2 SATA/PCIe),v5.1,35.990.000,Tấm nền IPS,NVIDIA GeForce RTX 3060 6GB GDDR6 Max-Q,Không,Laptop MSI Gaming GF65 Thin 10UE-228VN,Windows 10 Home,0,FullHD,"2 loa, HD Audio",0,19,1920 x 1080 pixels (FullHD),HD Web Camera,359 x 254 x 21.7 mm,"DDR4 16GB (2 x 8GB) 3200MHz; 2 slots, up to 32GB",Full HD,1.8 kg,Không,2x Type-C USB3.2 Gen1  2x Type-A USB3.2 Gen1  1x RJ45 1x (4K @ 30Hz) HDMI,0,Vỏ kim loại,https://cellphones.com.vn/laptop-msi-gaming-gf65-thin-10ue-228vn.html,15.6 inches,Có,3 Cell,30.590.000
8GB,IEEE 802.11 b/g/n/ac,"AMD Ryzen 7-3700U, tốc độ 2.3GHz tối đa lên đến 4.0GHz, 4MB bộ nhớ đệm",0,"Ổ cứng SSD, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD M.2 SATA,Bluetooth 4.2,,Tấm nền IPS,Radeon RX Vega 10 Graphics,Có,Laptop Avita Liber V14 R7,Windows 10 Home SL,0,"60 Hz, 220 nits, 45% NTSC","2 loa, Realtek High Definition Audio",0,24,1920 x 1080 pixels (FullHD),HD Web Camera,318 X 218 X 17.4 mm,"DDR4 2400MHz, Không hỗ trợ nâng cấp",Full HD,1.3kg,Không,"2 cổng USB 3.0 1 cổng USB 3.0 Type-C (PD 2.0 Charging, Display out) 1 cổng Micro HDMI Type D",0,,https://cellphones.com.vn/laptop-avita-liber-v14-ryzen-7.html,14 inches,Có,Up to 10 hours,
8GB,IEEE 802.11 b/g/n/ac,"Intel Core i7-10510U, tốc độ 1.8GHz tối đa lên đến 4.9GHz, 8MB bộ nhớ đệm",0,"Ổ cứng SSD, Viền màn hình siêu mỏng, Bảo mật vân tay",0,1TB SSD M.2 SATA,Bluetooth 4.2,21.990.000,Tấm nền IPS,Intel UHD Graphics,Có,Laptop Avita Liber V14 I7,Windows 10 Home SL,0,"60 Hz, 220 nits, 45% NTSC","2 loa, Realtek High Definition Audio",0,10,1920 x 1080 pixels (FullHD),HD Web Camera,318 X 218 X 15.9 mm,"DDR4 2400MHz, Không hỗ trợ nâng cấp",Full HD,1.28kg,Không,"2 cổng USB 3.0 1 cổng USB 3.0 Type-C (PD 2.0 Charging, Display out) 1 cổng Micro HDMI Type D",0,,https://cellphones.com.vn/laptop-avita-liber-v14-i7-ssd-1tb.html,14 inches,Có,3 Cell,19.890.000
8GB,IEEE 802.11 b/g/n/ac,"Intel Core i5-10210U, tốc độ 1.6GHz tối đa lên đến 4.2GHz, 6MB bộ nhớ đệm",0,"Ổ cứng SSD, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD M.2 SATA,Bluetooth 4.2,16.990.000,Tấm nền IPS,Intel UHD Graphics,Có,Laptop Avita Liber V14,Windows 10 Home SL,0,"Chống chói, Độ sáng 220 nits, Độ phủ màu 45% NTSC","2 loa, Realtek High Definition Audio",0,58,1920 x 1080 pixels (FullHD),HD Web Camera,318 X 218 X 15.9 mm,"DDR4 2400MHz, Không hỗ trợ nâng cấp",Full HD,1.28kg,Không,"2 cổng USB 3.0 1 cổng USB 3.0 Type-C (PD 2.0 Charging, Display out) 1 cổng Micro HDMI Type D",0,Vỏ kim loại,https://cellphones.com.vn/laptop-avita-liber-v14.html,14 inches,Có,3 Cell,14.890.000
8GB,802.11AX (2X2),Intel Core i5-11400H 2.7GHz up to 4.5GHz 12MB,0,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6",0,"512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",v5.2,30.990.000,Tấm nền IPS,"NVIDIA GeForce RTX 3060 6GB GDDR6, Up to 1630MHz at 90W (95W with Dynamic Boost)",Có,Laptop ASUS TUF Gaming F15 FX506HM-HN018T,Windows 10 Home SL ,0,"Tần số quét 144Hz, màn hình chống chói",2 Loa,0,14,1080 x 1620 pixels (FullHD+),720P HD camera,35.9 x 25.6 x 2.47 Cm,"DDR4 3200MHz, 2 khe tối đa 32GB",Full HD,2.3 kg,Không,1x Thunderbolt 4 support DisplayPort 3x USB 3.2 Gen 1 Type-A 1x RJ-45 LAN 1x HDMI 2.0B 1x COMBO audio jack,0,Vỏ nhựa,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hm-hn018t.html,15.6 inches,Có,3 Cell 90WHr,28.990.000
16GB,802.11ac WI-FI,"Intel Core i7 2.6GHz 6‑core, Turbo Boost up to 4.5GHz, with 12MB shared L3 cache",0,"Ổ cứng SSD, Viền màn hình siêu mỏng",0,512GB SSD,Bluetooth 5.0,59.000.000,Tấm nền IPS,AMD Radeon Pro 5300M with 4GB of GDDR,Không,Apple Macbook Pro 16 Touch Bar I7 2.6 16GB 512GB 2019 Bạc Chính Hãng (MVVL2),MacOS,0,,,0,3,3072 x 1920 pixels,,35.79 x 24.59 x 1.62 cm,"DDR4 2666MHz , không hỗ trợ nâng cấp",Retina,2.0 kg,Không,Four Thunderbolt 3 (USB-C) hỗ trợ: Sạc DisplayPort Thunderbolt (up to 40Gb/s) USB 3.1 Gen 2 (up to 10Gb/s),0,,https://cellphones.com.vn/macbook-pro-16-inch-2019.html,16 inches,,100-watt-hour lithium-polyme,53.000.000
16GB,Intel® Wi-Fi 6,"Core™ i7-1165G7 Processor (12MB Cache, up to 4.7 GHz)",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB M.2 PCIe NVMe Solid State Drive,v5.1,31.990.000,Tấm nền IPS,NVIDIA® GeForce® MX350 with 2 GB GDDR5 + Intel® Iris® Xe Graphics,Có,Laptop Dell Inspiron 14 5410 J42F81,Windows 10 Home SL ,0,,,0,20,1920 x 1080 pixels (FullHD),HD 720p ,32.34 x 21.56 x 1.92 ~ 1.92 cm,"DDR4 3200MHz, 2 khe cắm",Full HD,1.46 kg,Có,2 USB 3.1 Gen1 Type-A 1 USB 4.0 Type-C™ (full feature) 1 Audio Jack 1 HDMI 1.4b 1 Power Jack,0,,https://cellphones.com.vn/laptop-dell-inspiron-14-5410-j42f81.html,14 inches,, 54WHr,28.990.000
8GB,802.11 ax Wi-Fi 6,"AMD Ryzen 7-4800H, 8 nhân 16 luồng, tốc độ 2.90GHz tố đa lên đến 4.20GHz, 8MB bộ nhớ đệm",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB NVMe PCIe Gen3x4 SSD,Bluetooth 5.1,31.490.000,Tấm nền IPS,AMD Radeon RX 5600M 6GB GDDR6,Có,Laptop MSI Gaming Alpha 15 A4DEK-027VN,Windows 10 Home SL,0,"Tần số quét 144Hz viền mỏng, chống chói",2 loa,0,19,1920 x 1080 pixels (FullHD),HD type (30fps@720p),357.7 x 248 x 26.9 mm,"DDR4 3200Mhz, tối đa lên đến 64GB",Full HD,2.4 kg,Không,1 cổng Mini-DisplayPort 1 cổng Type-C USB3.2 Gen1 3 cổng Type-A USB3.2 Gen1 1 cổng (4K @ 60Hz) HDMI 1 cổng Mic-in 1 cổng Headphone-out,0,,https://cellphones.com.vn/laptop-msi-alpha-15-a4dek.html,15.6 inches,Có,65 Whr,27.990.000
4GB,"11ac, 2x2 ",Intel® Core™ i3-1005G,0,"Ổ cứng SSD, Bảo mật vân tay",0,256GB SSD M.2 2242 PCIe 3.0x2 NVMe,5,10.990.000,Tấm nền TN,Integrated Intel UHD Graphics,,Laptop Lenovo Ideapad Slim 3 14IIL05,Windows 10 Home,0,"Tần số quét 60 Hz, Độ sáng 250 nits, Anti-glare LED-backlit , Độ phủ màu 45% NTSC","Dolby Audio, 2 loa",0,42,1920 x 1080 pixels (FullHD),VGA Web Camera,327.1 x 241 x 19.9 mm,"4GB DDR4-2666Mhz onboard, dư 1 khe cắm",Full HD,1.6 kg,Không,1x USB 2.0 2x USB 3.2 Gen 1 1x HDMI 1.4b 1x headphone/microphone jack (3.5mm),0,Vỏ nhựa,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iil05.html,14 inches,Không,"2Cell,35WH",10.490.000
4GB,802.11 ax,"Intel Core i5-1135G7 Processor (4 x 2.40 GHz), Max Turbo Frequency : 4.20 GHz",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB SSD PCIe (M.2 2280),Bluetooth 5.0,,,Intel Iris Xe Graphics,,Laptop HP Probook 430 G8 2H0N6PA,Windows 10 Home SL,0,Màn hình chống loá,Realtek High Definition Audio,1,22,1920 x 1080 pixels (FullHD),HD Camera,30.69 x 20.84 x 1.59 cm (W x D x H),"DDR4 3200MHz, 2 khe cắm",Full HD,1.255 kg,Không,1 x USB 3.1 Gen 1 Type-A (supports power port) 1 x USB 3.1 Gen 1 Type-A (supports charging) 1 x USB 3.1 Gen 1 Type-C (supports DisplayPort) 1 x HDMI 1 x Headphone/Microphone combo audio jack,0,,https://cellphones.com.vn/laptop-hp-probook-430-g8-2h0n6pa.html,13.3 inches,Có,3 Cell Int (45Wh),19.590.000
8GB,802.11 AX (2x2),Intel Core i5-1135G7 0.9GHz up to 4.2GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),v5.0,,Tấm nền IPS,Intel Iris Xe Graphics ,Có,Laptop ASUS Vivobook A415EA-EB360T,Windows 10 Home SL ,0,"màn hình chống chói, 45% NTSC, NanoEdge",Harman Kardon,0,17,1920 x 1080 pixels (FullHD),HD Web Camera,324 x 215 x 17.9 mm,"DDR4 2666MHz, không hỗ trợ nâng cấp",Full HD,1.4 kg,Không,1 x Type-A USB 3.2 Gen 1 1 x Type-C USB 3.2 2 x USB 2.0 port(s) 1 x HDMI 1.4,0,Vỏ kim loại,https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb360t.html,14 inches,,3 Cells 42WHrs,
16GB,802.11ax Wi-Fi 6 ,M1 Pro/M1 Max 10 CPU,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",0,1TB SSD,v5.0,,,16 GPU,,Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 loa,0,11,3024 x 1964 pixels ,"1080p Camera, FaceTime",1.6 kg,,Retina,1.55 x 31.26 x 22.12 cm,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-14-inch-2021-1tb.html,14.2 inches,,,65.990.000
16GB,802.11ax Wi-Fi 6 ,M1 Pro/M1 Max,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",0,512GB SSD,v5.0,,,14 nhân GPU,,Macbook Pro 14 inch 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 loa,1,95,3024 x 1964 pixels ,"1080p Camera, FaceTime",1.6 kg,,Retina,1.55 x 31.26 x 22.12 cm,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-14-inch-2021.html,14.2 inches,,,52.990.000
32GB,802.11ax Wi-Fi 6,Apple M1 Max 10 CPU,0,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",0,1TB SSD,v5.0,,,32 GPU,,Macbook Pro 16 M1 Max 10 CPU - 32 GPU 32GB 1TB 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 Loa,0,9,3456 x 2234 pixels ,1080p FaceTime HD camera,1.68 x 35.57 x 24.81 cm,,Retina,2.1kg,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html,16.2 inches,,,92.990.000
16GB,802.11ax Wi-Fi 6,Apple M1 Pro (10 CPU),0,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",0,1TB SSD,v5.0,,, 16 GPU,,Macbook Pro M1 Pro 16 10 CPU - 16 GPU 16GB 1TB 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 Loa,0,7,3456 x 2234 pixels ,1080p FaceTime HD camera,1.68 x 35.57 x 24.81 cm,,Retina,2.1kg,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-16-inch-2021-1tb.html,16.2 inches,,,70.990.000
16GB,802.11ax Wi-Fi 6,Apple M1 Pro,0,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",0,512GB SSD,v5.0,,,,,Macbook Pro 16 inch 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 Loa,0,11,3456 x 2234 pixels ,1080p FaceTime HD camera,1.68 x 35.57 x 24.81 cm,,Retina,2.1kg,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-16-inch-2021.html,16.2 inches,,,65.990.000
16GB,802.11 ax,"AMD Ryzen 9 5900HX Processor (8 x 3.30 GHz), Max Boost Clock up to 4.60 GHz",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD1 PCIe (M.2 2280),Bluetooth 5.1,43.990.000,,"NVIDIA GeForce RTX 3060 (6GB of GDDR6 SDRAM, Bus Width : 192-bit)",Có,Laptop Asus Gaming ROG Strix G17 G713QM-K4183T,Windows 10 Home Single Language 64-bit,0,"Tần số quét 165Hz, màn hình chống loá, 300 nits",2 loa,0,20,2560 x 1440 pixels (2K),,39.5 x 28.2 x 2.34 ~ 2.83 cm (W x D x H),"2 x 8GB DDR4/ 3200MHz, hỗ trợ tối đa 32GB",2K (Quad HD),2.73 kg,Không,"1 x USB 3.1 Gen 2 Type-C (support DisplayPort, Power Delivery) 3 x USB 3.1 Gen 1 Type-A 1 x HDMI 1 x RJ45 1 x Headphone/Microphone combo audio jack 1 x SSD2 PCIe (M.2 2280)",0,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-g713qm-k4183t.html,17.3 inches,Có,4 Cell Int (90Wh),41.490.000
8GB,AMD Wi-Fi 6E RZ608,AMD Ryzen 7 5800H 3.2GHz up to 4.4GHz 16MB,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE (1 slot),v5.1,25.490.000,Tấm nền IPS,AMD Radeon™ RX 5500M 4GB GDDR6,Không,Laptop Gaming MSI Bravo 15 B5DD-264VN,Windows 10 Home SL ,0,"Màn hình chống loá, 144Hz",2x 2W Speaker,0,0,1920 x 1080 pixels (FullHD),HD 720p ,397 x 260 x 22~23.1 mm,"DDR4 3200MHz, 2 khe cắm tối đa 64GB",Full HD,1.96 kg,Không,1x Type-C USB3.2 Gen1 2x Type-A USB3.2 Gen1 1x Type-A USB2.0 1x (4K @ 30Hz) HDMI 1x Mic-in/Headphone-out Combo Jack,0,,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b5dd-264vn.html,15.6 inches,Có,3 Cell 52WHr,24.390.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i5-1035G7 1.20GHz/3.70GHz,1,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB M.2 2280 NVMe SSD PCI-e,5,30.490.000,,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 14ZD90N-V.AX55A5,Free OS,0,IPS,"DTS: X Ultra, Stereo Speaker (1.5W x 2)",1,13,1920 x 1080 pixels (FullHD),HD Webcam với Dual Mic.,323.4 x 209.8 x 16.8 mm,"DDR4 3200Mhz, không hỗ trợ nâng cấp",Full HD,999g,Không,"HDMI, USB 3.0 x 2, Micro-SD, RJ45 Ethernet, DC-In",0,Vỏ kim loại,https://cellphones.com.vn/laptop-lg-gram-14zd90n-v-ax55a5-2020-chip-core-i5-1035g7-ram-8gb-ssd-512gb-14inch.html,14 inches,Có,"72 Wh Li-Ion (9,450 mAh), 4 cell lithium ion (polymer)",24.280.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i5-1035G7 1.20GHz/3.70GHz,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB M.2 2280 NVMe SSD PCI-e,5,28.990.000,Tấm nền IPS,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 14Z90N-V.AR52A5,Windows 10 Home / Free OS,0,"60Hz, Chống chói Anti-Glare",DTS X:Ultra Audio,1,20,1920 x 1080 pixels (FullHD),HD webcam,323.4 x 209.8 x 16.8 mm,DDR4 3200Mhz,Full HD,999g,Không,"HDMI, USB 3.0 x 2, UFS, Micro SD, RJ45 Ethernet, DC-In",0,Vỏ kim loại,https://cellphones.com.vn/laptop-lg-gram-14z90n-v-ar52a5-2020-chip-core-i5-1035g7-ram-8gb-ssd-256gb-14inch.html,14 inches,Có,"72Wh Li-Ion (9,450mAh), 4 cell lithium ion (polymer)",22.890.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i5-1035G7 1.20GHz/3.70GHz,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB M.2 2280 NVMe SSD PCI-e,5,36.990.000,,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 15Z90N-V.AR55A5,Windows 10 Home / Free OS,0,IPS,,0,8,1920 x 1080 pixels (FullHD),,357.6 x 225.3 x 16.8 mm,8GB Onboard DDR4 3200MHz (1 Khe cắm / Hỗ trợ tối đa 16GB),Full HD,"1,120g",Không,"HDMI, USB 3.0 x 3, UFS, Micro SD, RJ45 Ethernet, DC-In",0,,https://cellphones.com.vn/laptop-lg-gram-15z90n-v-ar55a5-2020-chip-core-i5-1035g7-ram-8gb-ssd-512gb-15inch.html,15 inches,,"80Wh Li-Ion (10,336mAh), 4 cell lithium ion (polymer)",29.080.000
